Obs,Sim1,Sim2,Sim3,Sim4,Sim5,Sim6,Sim7,Sim8,Sim9,Sim10,Sim11,Sim12,Sim13,Sim14,Sim15,Sim16,Sim17,Sim18,Sim19,Sim20
3.828921742,2.7320821,2.214045,2.8784442,3.0818028,3.4882424,2.9332519,2.7349849,3.1397924,3.5033011,4.8928957,3.812537,3.3701708,3.941291,3.5246105,2.5866184,3.1946862,2.8309674,3.867591,3.7501864,3.2678645
3.698496184,2.6676478,2.1071677,2.814297,2.8992753,3.433766,2.81248,2.6320002,3.026885,3.3717384,4.8254557,3.7480297,3.3008878,3.8187757,3.3162608,2.4382887,3.140304,2.793774,3.8091278,3.6454656,3.2156835
3.642599516,2.6515195,2.05861,2.8110723,2.75007,3.3985755,2.7174253,2.5422187,2.931539,3.2471888,4.7614393,3.6884465,3.2592986,3.7077491,3.1283805,2.318974,3.092869,2.7584872,3.7562516,3.5644553,3.185407
3.856870076,2.6643512,2.0903006,2.769713,2.6585245,3.391442,2.6731317,2.4769242,2.8746061,3.137965,4.706038,3.644022,3.263856,3.6219723,2.964865,2.242731,3.0623338,2.73209,3.7205093,3.5398295,3.175004
3.52149007,2.6201663,2.0647695,2.6934047,2.596672,3.365842,2.627257,2.4215214,2.8111622,3.0346262,4.6520376,3.5962496,3.2270384,3.5437772,2.8173609,2.1682444,3.0297513,2.7055962,3.69006,3.5080662,3.1299722
3.353800066,2.5615535,1.9827573,2.633245,2.5300667,3.318081,2.5564268,2.3619094,2.7380166,2.935105,4.5933805,3.543361,3.1762922,3.4580352,2.6771173,2.0924642,2.992576,2.676949,3.6497731,3.4345045,3.085018
3.353800066,2.60392,1.9707918,2.742241,2.4698396,3.2891464,2.4986067,2.306439,2.677466,2.8425324,4.536814,3.4924378,3.1861265,3.3762867,2.5477138,2.0327861,2.961044,2.6496656,3.6069534,3.3701138,3.0746553
4.061824525,2.8056908,2.1186776,2.907735,2.4702077,3.300372,2.5295446,2.2871358,2.6874,2.7711298,4.4953866,3.461183,3.370328,3.331013,2.4453182,2.044964,2.9656506,2.6350057,3.5796306,3.3735383,3.1400843
4.369256197,3.1244783,2.369405,3.1610284,2.5676212,3.3366868,2.6656682,2.3313577,2.7731092,2.7382407,4.4763594,3.4520073,3.6679223,3.3325353,2.5477946,2.1682408,3.013935,2.6350513,3.5725703,3.425971,3.2559166
7.136141252,3.4503574,2.6692874,5.1901855,2.7999074,3.398528,2.9241905,2.4558213,2.93222,2.7629185,4.481301,3.4674327,4.0235825,3.387866,3.0502944,2.4414556,3.1098027,2.6499135,3.592083,3.5268574,3.406919
7.136141252,3.9356072,3.1620345,10.616407,3.1399832,3.4917362,3.2524936,2.6389663,3.1329272,2.8423238,4.510587,3.5062735,4.4084315,3.4810824,3.7459564,2.8215823,3.2368207,2.676858,3.6369376,3.6648073,3.6032891
12.2041058,4.653208,5.2710996,11.845322,3.6540277,3.6543188,3.8008177,2.946977,3.4533587,2.9763548,4.578493,3.5882053,5.1598225,3.6697865,4.9375286,3.3995867,3.452284,2.7213461,3.7189248,3.9214535,3.946164
5.431292885,4.664626,6.109225,6.1331306,4.1969595,3.7641642,4.1779447,3.2442822,3.7253232,3.13869,4.6217685,3.6846004,5.228623,3.8479111,5.9188585,3.9190772,3.6481454,2.769846,3.816399,4.1503057,4.030091
5.189073991,4.7656174,5.769667,6.53436,4.586273,3.8351033,4.188318,3.3909914,3.8201516,3.254693,4.6587043,3.7356112,4.900429,3.9422448,6.288294,4.1101303,3.730724,2.803185,3.8973267,4.2808466,3.983103
16.76900033,5.6510453,6.8509994,10.103752,4.995257,3.9688964,4.492487,3.7833219,3.9846704,3.409573,4.742293,3.8218772,5.3003855,4.197156,6.8389673,4.46584,3.8572931,2.8437088,3.989145,4.4851875,4.2256107
9.409272408,5.596608,7.2194376,6.0625143,5.3905573,4.064906,4.791085,4.1697106,4.1540823,3.6104589,4.802897,3.9366655,5.345884,4.462252,7.3289704,4.867125,3.987211,2.8905795,4.088094,4.6702003,4.3169775
7.55536626,4.9700065,6.446319,3.513623,5.602014,4.098204,4.77287,4.319896,4.1891365,3.8059773,4.832329,4.038851,4.860628,4.5717597,7.281458,5.0268254,4.023508,2.9313924,4.16312,4.743889,4.222441
7.11750903,4.6108975,5.832767,3.49886,5.661549,4.1269107,4.6669054,4.3271194,4.1626725,3.9658387,4.8625655,4.1205335,4.5988503,4.593172,7.012033,5.018668,4.0125923,2.967138,4.215189,4.7825766,4.1704745
6.707600133,4.294561,5.337356,3.3727999,5.6265774,4.143507,4.5547366,4.2741194,4.116813,4.09098,4.882551,4.184057,4.436657,4.576906,6.688978,4.9305234,3.9849308,2.999497,4.2522073,4.803188,4.1174755
7.76963682,4.0441856,4.910569,3.3743331,5.507339,4.146548,4.410992,4.1790767,4.04659,4.1786466,4.890858,4.2283807,4.2804766,4.5294843,6.286458,4.771859,3.9396987,3.0273876,4.274046,4.7963815,4.054636
8.626719059,3.935524,4.630857,3.3702972,5.361688,4.154475,4.319562,4.0865145,3.9960291,4.235635,4.89808,4.260424,4.2902136,4.4830265,5.970329,4.6170516,3.9063854,3.0537596,4.288669,4.79379,4.034145
6.307007347,3.7167208,4.2921095,3.1738262,5.1810646,4.1263695,4.2010317,3.984635,3.9341195,4.262455,4.8884263,4.275385,4.204348,4.4218917,5.6550345,4.4396143,3.8692205,3.0752285,4.29032,4.752445,3.9649155
5.999575674,3.4815986,3.9129622,3.0769567,4.9176793,4.0727425,3.9970183,3.8377953,3.8225162,4.2373405,4.8528533,4.258431,4.036606,4.322529,5.281723,4.17872,3.8077319,3.0832021,4.2637177,4.643841,3.862361
6.838025691,3.364049,3.706016,3.0822349,4.6634073,4.057113,3.841878,3.7035708,3.7209795,4.1946936,4.8271914,4.2399793,3.9510307,4.227536,4.90409,3.9447205,3.7488706,3.08894,4.2415085,4.584256,3.814371
6.055472342,3.289384,3.5466578,3.0647547,4.438048,4.040336,3.7303677,3.5893009,3.6442316,4.143009,4.8049064,4.2240176,3.9233367,4.1434803,4.5534062,3.7521553,3.7023282,3.0958943,4.223771,4.5418887,3.7797015
